local_goals,local_name,match,visitor_goals,visitor_name
0,Colon,Superliga 2018/19 - Fecha 4,0,Union
1,Union,Superliga 2017/18 - Fecha 17,1,Colon
1,Colon,Campeonato 2016/17 - Fecha 24,1,Union
0,Union,Campeonato 2016/17 - Fecha 16,2,Colon
1,Union,Torneo 2016 - Fecha 12,0,Colon
0,Colon,Torneo 2016 - Fecha 8,3,Union
0,Union,Campeonato 2015 - Fecha 27,0,Colon
0,Colon,Campeonato 2015 - Fecha 24,0,Union
1,Union,Torneo Final 2013 - Fecha 16,0,Colon
2,Colon,Torneo Inicial 2012 - Fecha 16,0,Union
2,Union,Torneo Clausura 2012 - Fecha 4,2,Colon
0,Colon,Torneo Apertura 2011 - Fecha 4,2,Union
0,Union,Torneo Clausura 2003 - Fecha 10,0,Colon
1,Colon,Torneo Apertura 2002 - Fecha 10,0,Union
0,Union,Torneo Clausura 2002 - Fecha 19,0,Colon
0,Colon,Torneo Apertura 2001 - Fecha 19,0,Union
1,Colon,Torneo Clausura 2001 - Fecha 14,1,Union
2,Union,Torneo Apertura 2000 - Fecha 14,2,Colon
4,Colon,Torneo Clausura 2000 - Fecha 5,0,Union
2,Union,Torneo Apertura 1999 - Fecha 5,0,Colon
0,Colon,Torneo Clausura 1999 - Fecha 7,0,Union
0,Union,Torneo Apertura 1998 - Fecha 7,2,Colon
2,Union,Torneo Clausura 1998 - Fecha 8,2,Colon
2,Colon,Torneo Apertura 1997 - Fecha 8,1,Union
0,Colon,Torneo Clausura 1997 - Fecha 17,0,Union
1,Union,Torneo Apertura 1996 - Fecha 17,1,Colon
1,Colon,Metropolitano 1981 - Fecha 18,1,Union
2,Union,Metropolitano 1981 - Fecha 1,0,Colon
3,Union,Metropolitano 1980 - Fecha 36,1,Colon
0,Colon,Metropolitano 1980 - Fecha 17,1,Union
2,Union,Nacional 1980 - Fecha Intergrupo,0,Colon
2,Colon,Nacional 1980 - Fecha Intergrupo,1,Union
2,Union,Nacional 1979 - Fecha Intergrupo,1,Colon
1,Colon,Nacional 1979 - Fecha Intergrupo,1,Union
1,Colon,Metropolitano 1978 - Fecha 41,1,Union
1,Union,Metropolitano 1978 - Fecha 20,1,Colon
0,Union,Metropolitano 1977 - Fecha 42,1,Colon
2,Colon,Metropolitano 1977 - Fecha 19,1,Union
1,Colon,Metropolitano 1976 - Ronda Final,1,Union
4,Union,Metropolitano 1976 - Fecha Intergrupo,2,Colon
3,Colon,Metropolitano 1976 - Fecha Intergrupo,1,Union
1,Union,Nacional 1976 - Fecha Intergrupo,0,Colon
2,Colon,Nacional 1976 - Fecha Intergrupo,2,Union
3,Colon,Metropolitano 1975 - Fecha 38,2,Union
0,Union,Metropolitano 1975 - Fecha 19,0,Colon
1,Colon,Nacional 1975 - Fecha Intergrupo,0,Union
1,Union,Nacional 1975 - Fecha Intergrupo,1,Colon
0,Union,Metropolitano 1970 - Grupo Reclasificatorio,1,Colon
1,Colon,Metropolitano 1970 - Grupo Reclasificatorio,1,Union
1,Colon,Metropolitano 1970 - Fecha 15,3,Union
0,Colon,Metropolitano 1969 - Fecha Intergrupo,1,Union
0,Union,Metropolitano 1969 - Fecha Intergrupo,0,Colon
1,Colon,Metropolitano 1967 - Fecha Intergrupo,1,Union
0,Union,Metropolitano 1967 - Fecha Intergrupo,0,Colon
0,Racing Club,Superliga 2017/18 - Fecha 10,1,Independiente
2,Independiente,Campeonato 2016/17 - Fecha 24,0,Racing Club
3,Racing Club,Campeonato 2016/17 - Fecha 11,0,Independiente
0,Racing Club,Torneo 2016 - Fecha 12,0,Independiente
1,Independiente,Torneo 2016 - Fecha 4,1,Racing Club
1,Racing Club,Campeonato 2015 - Liguilla Libertadores,2,Independiente
0,Independiente,Campeonato 2015 - Liguilla Libertadores,2,Racing Club
3,Independiente,Campeonato 2015 - Fecha 24,0,Racing Club
1,Racing Club,Campeonato 2015 - Fecha 13,0,Independiente
